382	book.book_character
58	book.book_edition
1107	book.book_edition_series
326	book.book_subject
1036	book.cited_work
78	book.contents
1309	book.editor_title
117	book.editorial_tenure
1460	book.excerpt
1418	book.excerpted_work
1114	book.financial_support_provider
667	book.illustrator
1417	book.interview
1006	book.interviewee
1216	book.interviewer
923	book.isbn
511	book.journal
320	book.journal_article
344	book.journal_publication
305	book.literary_series
427	book.magazine
886	book.magazine_genre
805	book.magazine_issue
449	book.newspaper
890	book.newspaper_circulation
1704	book.newspaper_edition_type
1100	book.newspaper_issue
564	book.newspaper_owner
1680	book.newspaper_price
831	book.pagination
319	book.periodical
452	book.periodical_editor
1972	book.periodical_format
648	book.periodical_format_period
244	book.periodical_frequency
116	book.periodical_publication_date
84	book.periodical_publisher
26	book.periodical_publisher_period
885	book.periodical_subject
1230	book.place_of_publication_period
533	book.poem
1022	book.poem_character
1407	book.poetic_meter
954	book.poetic_verse_form
68	book.publication
237	book.published_work
1062	book.publisher_imprint_tenure
127	book.publishing_company
1205	book.report_issuing_institution
343	book.review
342	book.reviewed_work
956	book.scholarly_financial_support
321	book.scholarly_work
946	book.school_or_movement
1248	book.serial_installment
828	book.serialized_work
381	book.series_editor
594	book.short_non_fiction
1617	book.short_non_fiction_variety
239	book.short_story
1301	book.technical_report
405	book.translated_work
329	book.translation
894	book.translator
43	book.written_work
1883	boxing.boxing_decision
1054	boxing.boxing_match
1541	boxing.boxing_sanctioning_body
1799	boxing.boxing_title
1863	boxing.boxing_title_tenure
1053	boxing.match_boxer_relationship
1865	broadcast.advisory
1498	broadcast.am_terrestrial_broadcast_facility
363	broadcast.artist
177	broadcast.broadcast
1952	broadcast.broadcast_station_class
1079	broadcast.cable_satellite_availability
973	broadcast.callsign_duration
707	broadcast.content
859	broadcast.distributor
1378	broadcast.fm_terrestrial_broadcast_facility
562	broadcast.genre
708	broadcast.internet_stream
679	broadcast.podcast_feed
534	broadcast.producer
229	broadcast.radio_affiliation_duration
1019	broadcast.radio_format
1404	broadcast.radio_network
535	broadcast.radio_station
1218	broadcast.radio_station_owner
165	broadcast.tv_affiliation_duration
178	broadcast.tv_channel
1427	broadcast.tv_signal_type
530	broadcast.tv_station
1184	broadcast.tv_station_owner
860	broadcast.tv_terrestrial_broadcast_facility
49	business.acquisition
965	business.advertising_slogan
461	business.asset
752	business.asset_owner
814	business.asset_ownership
102	business.board_member
598	business.board_member_title
249	business.brand
1328	business.brand_colors
361	business.brand_slogan
211	business.business_location
115	business.business_operation
474	business.company_advisor
39	business.company_brand_relationship
940	business.company_name_change
56	business.company_product_line_relationship
221	business.company_product_relationship
1138	business.company_termination_type
1436	business.company_type
891	business.competitive_space
275	business.competitive_space_mediator
181	business.consumer_company
67	business.consumer_product
1664	business.currency_sub_unit
553	business.customer
262	business.defunct_company
85	business.employer
83	business.employment_tenure
1385	business.endorsed_product
987	business.holding
472	business.industry
942	business.issue
1748	business.issue_type
332	business.issuer
278	business.job_title
1249	business.market_index
1256	business.market_share
1569	business.market_size
959	business.oil_field
299	business.open_times
312	business.product_category
1288	business.product_endorsee
1199	business.product_endorsement
1219	business.product_endorser
489	business.product_ingredient
205	business.product_line
498	business.product_theme
1881	business.product_with_ingredients
601	business.shareholder
536	business.shopping_center
1108	business.shopping_center_owner
384	business.sponsor
289	business.sponsored_recipient
737	business.sponsorship
740	business.stock_ticker_symbol
1268	business.trade_union
1603	celebrities.abused_substance
324	celebrities.celebrity
1212	celebrities.friendship
1080	celebrities.legal_entanglement
1352	celebrities.reason_for_arrest
1744	celebrities.rehab
1195	celebrities.rehab_facility
1536	celebrities.rivalry
126	celebrities.romantic_relationship
1839	celebrities.romantic_relationship_type
2040	celebrities.sexual_orientation
843	celebrities.sexual_orientation_phase
1296	celebrities.substance_abuse_problem
1939	celebrities.supercouple
861	chemistry.atomic_mass
1640	chemistry.chemical_bond
990	chemistry.chemical_classification
410	chemistry.chemical_compound
1133	chemistry.chemical_element
1584	chemistry.chemical_series
1186	chemistry.electron_affinity
1181	chemistry.element_discoverer
862	chemistry.isotope
1453	chemistry.isotope_decay
1441	chemistry.molecular_entity
1710	chemistry.particle_spin
1963	chemistry.periodic_table_block
