medicine.hospital_ownership
user.maximilianschich.CIDOC_CRM.p43
user.maximilianschich.CIDOC_CRM.p122
user.digitalarchivist.archives.location
base.inference.fact
base.sailors.ship_crew_tenure
base.schemastaging.education_board_school_relationship
automotive.upholstery
user.maximilianschich.CIDOC_CRM.p115
base.engineeringdraft.hardness_specification
user.zeusi.default_domain.cultural_reference
base.honouriam.dishonoured_person
base.microdata.vcard_n
base.webvideo.internet_video_series_crew_gig
user.riedelcastro.default_domain.causation
base.schemastaging.cricket_roster
user.icio.default_domain.ucompany_needs_id
aviation.airline_airport_presence
user.maximilianschich.CIDOC_CRM.p39
base.litcentral.geologic_time_period_taxa
chemistry.atomic_mass
base.popstra.rehab_stay
user.heathenism.default_domain.heather_o_brien
cricket.cricket_bowler_stats
user.chestbreaker.default_domain.film_performance
base.mapcentral.fgdc_lineage
soccer.football_player_transfer
user.afvalnl.default_domain.tuinafval
user.robert.default_domain.film_review
user.dgardner.default_domain.steps
base.summarystatistics.frequency_bandwidth
law.judicial_tenure
base.saturdaynightlive.snl_musical_performance
base.mladraft.collection_ownership
rail.railway_operator_relationship
base.pirates.act_of_piracy
american_football.game_receiving_statistics
sports.team_venue_relationship
government.government_service_duration
digicams.camera_resolution
user.rictic.programming_languages.translation
user.maximilianschich.CIDOC_CRM.p17
user.maximilianschich.CIDOC_CRM.p37
film.film_film_company_relationship
base.naturalist.organism_observation
base.sailors.ship_passenger_journey
base.skateboarding.skateboarder_trick_relationship
base.vwmtbase.vw_coordination_object_2_view
base.proposedprojects.geographical_issue
user.sprocketonline.default_domain.season_temporality
base.datedlocationtest.dated_location_break_up
astronomy.celestial_object_age
user.pak21.default_domain.pen_name_usage
base.motorcycle.fuel_consumption
finance.exchange_rate
freebase.flag_judgment
geography.mountain_age
user.maximilianschich.CIDOC_CRM.p22
user.maximilianschich.CIDOC_CRM.p30
base.satelites.measured_radiation_band
user.kconragan.default_domain.water_temperature_range
soccer.football_player_loan
base.certification.person_certification
base.government2.elected_government_positions_held
music.music_video_gig
medicine.drug_label_section
user.jkramersmyth.default_domain.spoilers
user.dharmatech.default_domain.nicaraguan_presidential_election
user.maximilianschich.CIDOC_CRM.p26
user.maximilianschich.CIDOC_CRM.p45
user.duck1123.default_domain.mtg_mana_cost
travel.hotel_grade
interests.collection
user.uoa_it.uoa_it.uoa_collaboration
base.schemastaging.book_author_credit
base.schemastaging.book_refactor_written_work
base.pirates.letter_of_marque
base.seafood.seafood_rating
base.schemastaging.school_constituency_relationship
base.chgkirk.intellectual_games_clubs_participation
user.stevenzenith.default_domain.ethic
user.robertm.default_domain.testab
user.fbelleau.default_domain.bio2rdf_sequence
user.maximilianschich.CIDOC_CRM.p89
user.maximilianschich.CIDOC_CRM.p116
user.sumit.default_domain.average_temperature
base.saturdaynightlive.snl_season_tenure
user.alexbl.honorary_title.honorary_title_holding
user.cheunger.mw_ping_pong.game
base.collectives.collective_membership
base.seafood.fishery
base.athletics.current_series_record
tv.video
base.handball.handball_match_timeout
music.music_video_performance
soccer.football_player_stats
tv.tv_crew_gig
user.maximilianschich.CIDOC_CRM.p76
user.digitalarchivist.fictional_cultural_institutions.fictional_archives
user.jdouglas.freebase.template_call
base.column.column_author_duration
base.landcover.landform_cover_relationship
base.sportssandbox.sports_team_roster
base.edbase.path_step
user.brendan.rated.caterer_rating
amusement_parks.accident
rail.rolling_stock_tenure
user.shai_exploit_co_il.default_domain.script_alert_document_domain_script
common.license_usage
base.auctioneers.conducted
base.aubreymaturin.ship_s_guns
base.mapcentral.fgdc_depth_system
base.litcentral.documented_migration_location
user.jamie.default_domain.yacht_racing.competitor
base.localfood.orchard_contents
base.cars_refactor.msrp
theater.theater_designer_gig
user.maximilianschich.CIDOC_CRM.p86
base.materials.hardness_spcification
base.themuppetshow.muppet_show_guest_star
base.litcentral.documented_nonbreeding_location
base.crime.chief_of_police_tenure
base.sails.sailing_handicap_rating
base.x2010fifaworldcupsouthafrica.world_cup_qualifying_squad
base.equation.operator
book.pagination
user.maximilianschich.CIDOC_CRM.p44
base.summarystatistics.user_defined_length
user.cheunger.default_domain.crime
base.petbreeds.dog_size
base.conservation.protected_species_status
automotive.similar_automobile_models
measurement_unit.dated_metric_ton
measurement_unit.integer_ratio
base.summarystatistics.time_span
base.jewlib.collection_extent
base.brothels.prostitute_employment_tenure
base.qualified_values.qualified_value
user.maximilianschich.CIDOC_CRM.p19
base.birdinfo.parasitism
base.peleton.historical_cycling_roster_position
user.pak21.default_domain.nondescript_a
measurement_unit.dated_ratio
broadcast.cable_satellite_availability
user.robert.earthquakes.qualified_integer
chess.chess_game_participation
user.duck1123.time.non_gregorian_date_time
base.mapcentral.sdts_terms_description
base.cgcollection.computer_game_media
baseball.batting_statistics
base.natlang.predicate_relation
american_football.player_rushing_statistics
tv.tv_segment_guest_appearance
user.moinkhanjaipur.default_domain.moin_khan
olympics.olympic_torch_relay
base.schemastaging.yusho_count
measurement_unit.dated_money_value
measurement_unit.dimensions
user.jondblackburn.default_domain.journal_coverage
cricket.cricket_player_stats
user.maximilianschich.CIDOC_CRM.p57
base.charities.charity_evaluation
base.materials.alloy_component
base.warofdragons.profession_ranking
base.wrestling.professional_wrestling_match
base.webvideo.internet_video_regular_performance
user.mt.default_domain.book_ownership
base.darwincore.darwincore_catalognumber
location.cotermination
tv.tv_segment_personal_appearance
base.vwmtbase.vw_transformation_agent_2_data_representation
base.shortenedurls.shortenedurl
base.test_no_csrf.akhilreni
user.jfry.default_domain.quote_source
user.maximilianschich.CIDOC_CRM.p113
user.arachnid.a_tale_in_the_desert_tech_tree.resource_production
user.skud.embassies_and_consulates.ambassadorial_tenure
base.survivor.survivor_placement
base.peleton.cycling_team_based_at
base.militaryinfiction.military_character_service
base.schemastaging.athlete_salary
user.sid.default_domain.a
base.business_report.authoritative_financial_reference
user.maximilianschich.CIDOC_CRM.p9
base.politicalconventions.pres_delegate_vote_tally
base.jamesbond007.villain_fate
base.summarystatistics.freebase_cross_reference
base.peleton.road_bicycle_race_sprints
book.editorial_tenure
base.sportsworkspace.competitor_match_relation
user.broccoli.default_domain.order
medicine.drug_strength
user.lumimies.default_domain.age_limited_thing
base.the_pixel_lab.sydney
user.sandos.research.research_proj_involvement
base.dancingwiththestars.dwts_appearance
base.marchmadness.ncaa_basketball_final_four_broadcaster
user.jamie.default_domain.yacht_racing.commodore_tenure
base.derivativeworks.content_usage
martial_arts.martial_arts_certification
user.robert.earthquakes.earthquake_effect
user.faye.default_domain.hotel_rating
user.dnbornstein.SE-Individual.social_entrepreneur
user.maximilianschich.CIDOC_CRM.p35
base.bioventurist.sales
base.animalpathology.animal_disease_triangle
user.muggsy.default_domain.test_type_2
common.phone_number
user.alyx.default_domain.aspect_ratio_s
symbols.heraldic_mantling
base.facetedbrowsing.faceted_browsing_widget_support
base.veterinarymedicine.veterinary_disease_or_medical_condition
user.ajain.default_domain.support_group
base.canineagility.team_performance
basketball.basketball_team_stats
user.alexander.default_domain.analogy
user.jefft0.default_domain.float_assertion
user.maximilianschich.CIDOC_CRM.p104
base.summarystatistics.metadata_topic_cross_reference
base.vwmtbase.vw_data_source_2_adapter
base.nationalbridgeinventory.traffic_survey
user.brighama.default_domain.performed_in
user.las_pilitas.default_domain.bert_wilson
boats.boat_disposition
user.divideby0.default_domain.musician
user.maximilianschich.CIDOC_CRM.p129
location.co2_emission
user.dfhuynh.default_domain.assassination
organization.organization_merger
music.recording_contribution
base.canineagility.jump_height_card
measurement_unit.integer_range
tennis.tennis_match
user.jefft0.default_domain.claim_status_for_world_view
book.periodical_format_period
user.zhelee.default_domain.justatry
user.tadhg.default_domain.group_membership
visual_art.artwork_location_relationship
base.truereligion.style_measurement
user.skud.genderizer.genderizer_vote
user.alexander.misc.dated_name
base.jamesbond007.method_of_demise
base.freebooks.versioned_content_license
base.crime.crime_accusation
fashion.clothing_size
symbols.heraldic_variation_of_the_field_color
base.x2010fifaworldcupsouthafrica.current_world_cup_squad
astronomy.apparent_mass
measurement_unit.dated_percentage
user.trekkingbuddha.default_domain.volunteersummernepal
business.acquisition
military.casualties
user.robertm.default_domain.variable_with_units
education.education
royalty.precedence
base.schemastaging.phone_sandbox
user.davidleoni.default_domain.provamediator
base.schemastaging.election_ticket_membership
base.truereligion.material
user.paulshanks.project_management.structural_consultant_membership
base.aubreymaturin.ship_mention
base.tallships.tv_ship_appearance
base.damsbase.dam_failure
location.administrative_division_capital_relationship
base.canineagility.legs_earned
user.jamie.oldwine.varietal_blend
user.robert.default_domain.test_mediator
user.skud.legal.treaty_signature
base.motorcycle.gear_ratio
base.harvard.house_master_tenure
base.mapcentral.fgdc_bounding_coordinates
people.human_measurement
user.samotested.default_domain.svg_onwdload_alert_document_cookie
film.film_crew_gig
user.rhatetl.default_domain.mostviertel_mostheuriger
user.maximilianschich.CIDOC_CRM.p112
user.pmyrseth.default_domain.field_study_publication
base.americancomedy.comedy_group_membership
base.aubreymaturin.dish_mention
user.seanabrady.default_domain.game_armies
user.maximilianschich.CIDOC_CRM.p136
user.maximilianschich.CIDOC_CRM.p50
base.motorcycle.lean_angle
user.arachnid.a_tale_in_the_desert_tech_tree.size
user.cheunger.sports_test.roster_membership
user.dminkley.biology.protein_sequence
base.mapcentral.fgdc_data_environment
base.argumentmaps.variation_of_idea
soccer.football_team_management_tenure
base.gleebase.song_performance
base.column.column_frequency_duration
base.metalfoundries.furnaces
base.minerals.world_mine_production
measurement_unit.dated_metric_tons_per_million_ppp_dollars
user.robert.default_domain.test_cvt
base.digitalcameras.f_stop_range
user.aricamberden.default_domain.composition_tuple
base.triggers.trigger_occurence
base.ecology.symbiotic_relationship
base.x2010fifaworldcupsouthafrica.world_cup_spot_allocations
architecture.light_color_range
user.patrick.default_domain.go_rating
user.yellowbkpk.default_domain.auditorium
base.ultimate.ultimate_roster_position
base.politicalconventions.convention_leadership
user.uoa_it.uoa_it.uoa_message_transform
base.popstra.dated
base.musicfestival.artist_festival_relationship
user.jeff.default_domain.area_code_overlay
user.maximilianschich.CIDOC_CRM.p70
base.motorcycle.freight
base.oysters.oyster_size
base.architecture2.architectural_structure_ownership
base.popstra.public_insult
base.vwmtbase.vw_data_representation_2_transformation_agent
user.jmartenstein.default_domain.books_i_ve_read
user.jefft0.default_domain.argument_all_are_of
user.maximilianschich.CIDOC_CRM.p119
base.summarystatistics.integer_statistic
user.robert.mobile_phones.regional_submodel
base.thoroughbredracing.horse_owner_relationship
base.contractbridge.bridge_tournament_location
base.noisepop.performance
base.mystery.similar_cryptid_classification
base.greenbuilding.leed_registration_and_certification
user.cpryde.default_domain.instant_money_value
user.jjrscott.default_domain.hard_disk_power_consumption
user.jfno.default_domain.favoritequeues
user.jchris.default_domain.enclosure
user.jmarcwild.default_domain.career_succession
user.maximilianschich.CIDOC_CRM.p114
opera.opera_character_voice
olympics.olympic_athlete_affiliation
user.tsegaran.business.health_department_score
base.contractbridge.bridge_tournament_standings
symbols.heraldic_charge_color
business.market_size
user.jeff.default_domain.referendum_election
base.government2.legislative_position_held
influence.peer_relationship
user.robertm.default_domain.challenging_link
user.movgp0.default_domain.max_file_size_limits
base.writing.antonym
baseball.lifetime_batting_statistics
food.beer_production
measurement_unit.rect_size
people.sibling_relationship
base.saints.relic
aviation.comparable_aircraft_relationship
user.paulshanks.project_management.interiors_consultant
base.nascar.nascar_race_result
event.speech_or_presentation
aviation.airport_runway
tv.tv_producer_term
user.ptomblin.default_domain.instrument_approach
user.cheunger.sports_test.coaching_relationship
user.danm.fictional_settings_real_places.place_relationship
skiing.lift_tenure
biology.animal_ownership
user.gmackenz.public_gmackenz_types.length_range_km
base.popstra.legal_dispute
base.tinkerersencyclopedia.individual_parts
base.change.change
base.patronage.patron_client_relationship
film.film_cut
measurement_unit.time_interval
military.military_service
film.film_regional_release_date
user.mortalkombat4.nicknames.indian
organization.non_profit_registration
user.paulshanks.project_management.structural_consultant
rail.railway_gauge_relationship
base.popstra.breakup
user.sprocketonline.default_domain.verification_review
base.writing.word
base.lawbase.party
base.popstra.admires
base.cars_refactor.cargo_bed
measurement_unit.monetary_range
user.digitalarchivist.default_domain.incunabulum
user.maximilianschich.CIDOC_CRM.p141
user.danm.default_domain.property_cvt
royalty.system_title_relationship
cvg.musical_game_song_relationship
organization.organization_spin_off
user.sprocketonline.default_domain.wikipedia_fatcat
american_football.forty_yard_dash_time
base.schemastaging.celestial_object_composition
boats.engine
base.wfilmbase.siteid
base.givennames.name_variation_relationship
base.popstra.shopping_choice
base.popstra.fashion_choice
base.change.name_change
user.micahsaul.advertising.ad_campaign_contribution
base.iskysoft.tunesover_for_mac
user.seanmurphy.default_domain.irish_actors
user.maximilianschich.CIDOC_CRM.p128
base.filmcameras.length_range
user.paulshanks.project_management.architectural_consultant
base.trialbase.project_staff
base.engineeringdraft.material_thermal_conductivity_specification
base.athletics.athletics_championships_competition_athlete_relationship
base.peleton.road_bicycling_race_crash
base.datedlocationtest.dated_location_joining
base.curricula.learning_trajectory
base.edbase.score
base.schemastaging.serving_size
user.muggsy.default_domain.mediator_bug_type_2
digicams.camera_digital_zoom_capability
fictional_universe.fictional_date_time
base.ancientegypt.pyramid_base_dimensions
government.legislative_election_results
chemistry.isotope_decay
base.petbreeds.year_range
cricket.fall_of_wicket
user.maximilianschich.CIDOC_CRM.p7
base.birdinfo.predation
visual_art.artwork_owner_relationship
base.coinsdaily.coin_series
base.the_pixel_lab.user_experience_design
boats.ship_powerplant_system
user.maximilianschich.CIDOC_CRM.p99
award.hall_of_fame_induction
user.bgoldenberg.default_domain.fraction
base.moregeography.volcano_eruption
automotive.opt_trim_relationship
user.tsegaran.random.taxonomy_entry
base.famouspets.pet_ownership
base.litcentral.documented_breeding_location
base.schemapatterns.phylogeny_schema_pattern
base.danceporn.dance_movie_performance
base.webvideo.internet_video_performance
celebrities.rivalry
user.philg.acre.acre_api_argument
base.folklore.mythical_group_membership
base.rollerderby.bout_performance
user.jondblackburn.default_domain.database
user.maximilianschich.CIDOC_CRM.p131
user.daviddecraene.default_domain.owl_restriction
skiing.yearly_snowfall
base.iceandfire.house_lordship
base.summarystatistics.user_defined_length_range
user.szaijan.fantasy_football.owner
user.alecf.recreation.park_feature_quantity
user.sgillies.default_domain.spatial_geometry
military.military_post_use
user.trasyia.default_domain.m2
user.cip22.default_domain.musical_contribution
user.maximilianschich.CIDOC_CRM.p23
user.maximilianschich.CIDOC_CRM.p82
base.summarystatistics.equal_code
organization.organization_committee_membership
base.popstra.arrest
base.natlang.property_alias
base.tournaments.match_competitor_relationship
base.militaryinfiction.military_casulaties_in_fiction
aviation.cargo_by_year
measurement_unit.dated_integer
user.patrick.default_domain.military_side
user.maximilianschich.CIDOC_CRM.p72
distilled_spirits.spirit_aging
base.thebigpitch.promoted_product
base.collectives.armed_force_alliance_tenure
base.materials.thermal_expansion_specification
user.robert.cool_tools.vendor_link
user.synedra.didwho.eating_spot
user.akatenev.weapons.military_comission
base.summarystatistics.user_defined_time
base.peleton.national_championship_jersey_holder
base.materials.resistivity_specification
base.ecology.introduced_species_info
user.ptomblin.default_domain.communications_frequency
base.formula1.formula_1_team_member
base.popstra.substance_abuse
digicams.camera_image_stabilization
base.folklore.named_mythical_creature_marriage
soccer.football_league_participation
astronomy.meteor_shower_occurrence
base.vwmtbase.vw_view_2_coordination_object
american_football.player_game_statistics
base.relationships.aka
base.skosbase.skos_relation
user.xsseeed.default_domain.img_src_x_onerror_prompt_1
base.schemastaging.winning_votable_entity
user.corallink.default_domain.reef
base.motorcycle.vehicle_length
user.yellowbkpk.default_domain.ticket_price_category
base.mystery.cryptid_expedition
base.divinity.divinity_human_child_relationship
base.opposites.opposite_relationship
base.x2010fifaworldcupsouthafrica.world_cup_qualifying_team
physics.subatomic_particle_composition
education.honorary_degree
base.schemastaging.sports_team_manager_tenure
user.afvalnl.default_domain.puin
dataworld.type_project_mediator
celebrities.friendship
user.maximilianschich.CIDOC_CRM.p4
user.maximilianschich.CIDOC_CRM.p109
base.motorcycle.option_package
base.feudalism.fief_ownership
base.plaques.blue_plaque_dedication
user.afvalnl.default_domain.snoeiafval
award.category_ceremony_relationship
cricket.cricket_team_stats
user.jefft0.default_domain.argument_all_are_not_of
user.rslinckx.default_domain.web2_0
user.maximilianschich.CIDOC_CRM.p95
user.maximilianschich.CIDOC_CRM.p74
base.yalebase.secret_society_membership
base.centreforeresearch.staff_project_involvement
user.typelibrarian.default_domain.cvt_test
base.peleton.road_bicycling_race_gc_leadership
award.long_list_nomination
business.holding
astronomy.red_shift
user.maximilianschich.CIDOC_CRM.p42
user.digitalarchivist.default_domain.animation
base.yalebase.building_address
user.jeremyttu.default_domain.citychampionship
base.mapcentral.fgdc_description
user.movgp0.default_domain.file_system_recorded_date
base.armoryshow1913.artwork_catalog_entry
user.robertm.default_domain.pipe1
user.jefft0.default_domain.argument_something_is_s_and_p
user.pumpkin.default_domain.data_structure_operation
base.conservationaction.documented_priority_species
baseball.current_coaching_tenure
rail.railway_type_relationship
user.pak21.whoareyou.user_distance
user.zeusi.default_domain.sports_competition_competitor_relationship
digicams.camera_dimensions
user.alexander.default_domain.semantic_correspondence
user.erhapp.default_domain.rope_skipping_team
user.maximilianschich.CIDOC_CRM.p65
location.imports_exports_by_industry
user.movgp0.default_domain.physical_size
base.vwmtbase.vw_data_representation_2_view
base.troubleshooting.resolvedby
user.digitalarchivist.default_domain.lawyer
business.sponsorship
user.jareddecker.statslice_bd.prospective_client
base.lists.list_entry
internet.website_ownership
base.surfing.asp_event_result
user.robert.default_domain.browser_configuration
user.maximilianschich.CIDOC_CRM.p2
base.endorsements.personal_endorsement
base.mapcentral.fgdc_lat_long
user.movgp0.default_domain.partition_identifier
base.disaster2.attack_process
base.athletics.personal_best
base.adoption.adoption
base.gliding.glider_aircraft
user.brendan.default_domain.interest_relation
user.maximilianschich.CIDOC_CRM.p11
user.monsterceo.default_domain.wine_classification
book.journal_publication
base.sanfranciscoscene.san_francisco_event_guest_appearances
base.x2010fifaworldcupsouthafrica.abc123
user.jeff.default_domain.salinity
base.lifestyle.ericgourmet
measurement_unit.dated_days
base.diamonds_and_diamond_jewelry.diamonds_101
user.udibr.default_domain.exchange_rate
base.birdinfo.nest_construction
user.yqbd.default_domain.operation_result
law.court_courthouse_relationship
base.process.action
user.daepark.default_domain.test_cvt
astronomy.constellation_bordering_relationship
user.spencermountain.default_domain.testcvt
base.gamecollection.game
user.alexander.default_domain.aspect_ratio
book.periodical_frequency
chess.chess_move
user.kybernetikos.default_domain.cuttingalongstoryshort
user.maximilianschich.CIDOC_CRM.p138
automotive.us_fuel_economy
food.beer_containment
base.schemastaging.previous_name
base.militaryinfiction.military_command_in_fiction
sports.sports_team_coach_tenure
base.openintegrity.evidence
user.rokelis.default_domain.killabileer
media_common.dedication
freebase.vendor_configuration
base.nationalbridgeinventory.bridge_operating_rating
base.shelvedcancelledandunfinishedfilms.films
base.greenpal_lawn_care.yourgreenpal
business.company_name_change
user.alexander.default_domain.atmospheric_composition
user.jefft0.default_domain.argument_s_is_not_a_p
user.rakunkel.default_domain.caledln
user.maximilianschich.CIDOC_CRM.p87
user.maximilianschich.CIDOC_CRM.p75
education.student_teacher_ratio
freebase.property_path
base.materials.temperature_specification
base.thingy.thingy_crew_gig
base.cycleroute.cycle_route_connection
base.wineawards.wine_scores
user.thadguidry.default_domain.census_tract_crosswalk
user.patrick.default_domain.warship_crew_tenure
user.billkatz.default_domain.publication
user.maximilianschich.CIDOC_CRM.p67
user.arachnid.a_tale_in_the_desert_tech_tree.resource_requirement
religion.place_of_worship_historical_use
user.jthebox.default_domain.property_constraint
base.mystery.hoax_demystification
base.militaryinfiction.force_strength_in_fiction
user.durant.default_domain.the_vampire_diaries
user.maximilianschich.CIDOC_CRM.p48
user.sandos.common_sense.likes
user.spatialed.additional_contributions.contributed_schema_property
base.articleindices.index_item
base.popstra.paid_support
base.popstra.restaurant_choice
base.popstra.party_choice
base.schemastaging.military_unit_posting
base.braziliangovt.brazilian_governmental_vote
base.saturdaynightlive.snl_recurring_sketch_performance
base.mapcentral.fgdc_attribute_accuracy
business.market_share
transportation.road_junction
military.force_strength
user.cassinmi.default_domain.time_series
user.tracypoff.default_domain.cryptographic_hash
base.mystery.cryptid_observation
user.bhakar.default_domain.film_soundtrack
user.alexander.misc.contextual_name
base.crime.arrest_warrants
base.popstra.hangout
base.mediatordt.snogging
base.views.constraint
base.entertainmentutilities.nomination_metadata
user.alexander.misc.historic_invention_appearance
user.anandology.default_domain.train_arrival_departure
user.maximilianschich.CIDOC_CRM.p31
user.maximilianschich.CIDOC_CRM.p139
base.satelites.orbital_period
user.davidar.default_domain.physical_quantity
base.events.performance
base.brending.brendingmediators
base.militaryinfiction.military_combatant_group_in_fiction
computer.software_compatibility
user.danm.default_domain.sexual_relationship
freebase.help_topic_relationship
royalty.noble_title_tenure
royalty.chivalric_order_relationship
base.engineeringdraft.material_strength_specification
user.zeusi.default_domain.athlete_team_relationship
government.electoral_college_elected_office
user.hailey2009.default_domain.type_of_rose
base.metalfoundries.foundry_castings
base.nuswantoro.nuswantoro
fictional_universe.sibling_relationship_of_fictional_characters
user.robert.area_codes.coverage
user.duck1123.default_domain.mtg_permanent_passive_ability
base.folklore.named_mythical_creature_extended_family
base.statistics.motor_vehicle_production
base.torgbase.character_s_skill
celebrities.substance_abuse_problem
automotive.cargo_bed
base.mapcentral.fgdc_time_period
business.brand_colors
royalty.chivalric_title_gender_equivalency
base.refugee.refugee_encampment_period
base.x2010fifaworldcupsouthafrica.group_qualifying_teams
organization.organization_relationship
user.ballychohan.default_domain.bally_chohan_uk
base.datedlocationtest.dated_location_succession
base.mediaasset.media_asset
base.schemastaging.book_refactor_illustrator
user.freebase_tester.default_domain.test_friend
zoos.animal_captivity
base.disaster2.state_of_emergency_declaration
base.arthist.provenienciaadat
soccer.football_player_substitution
base.bartering.exchange
base.datedlocationtest.dated_location_merger
base.webvideo.internet_video_crew_gig
user.durant.default_domain.ian_somerhalder
base.eric_w_pohl_photography_design.ewphotography
spaceflight.satellite_orbit_asynchronous
user.maximilianschich.CIDOC_CRM.p108
user.maximilianschich.CIDOC_CRM.p84
base.iceandfire.house_weapon_stint
base.litcentral.source_feature_taxa
base.architecture2.building_floor
base.ports.annual_tonnage
base.saveaussiemusic.street_press_index
user.propowerrooter.default_domain.mark_clark
base.web_siena_blog.fabrizio_betti
user.maximilianschich.CIDOC_CRM.p124
location.imports_and_exports
base.recalledproducts.product_recall
base.schemapatterns.time_mediation_schema_pattern
base.x2010fifaworldcupsouthafrica.world_cup_team
base.americancivilwar.battle_result
base.kandco.sir_victor_blank_chairman
opera.opera_production_staff_gig
user.alexander.default_domain.ipa_word_pronunciation
user.maximilianschich.CIDOC_CRM.p83
base.wrestling.championship_title_reign
freebase.property_constraint
sports.sports_team_season_record
base.engineeringdraft.manufacturing_plant_production
user.pak21.hotstuff.hourly_statistics
biology.organism_classification_placement
user.micahsaul.advertising.tv_spot_launch
boats.warship_service_period
book.contents
cricket.cricket_roster_extras
user.maximilianschich.CIDOC_CRM.p38
user.macro1970.default_domain.tv_broadcast
base.ports.annual_teus
user.hailey2009.default_domain.type_of_flavor
user.dchwalisz.default_domain.public_radio_network
user.jjon.default_domain.hostage
base.petbreeds.dog_weight
base.aubreymaturin.malady_mention
base.mapcentral.fgdc_cross_reference
base.mapcentral.fgdc_local_planar
base.mapcentral.fgdc_planar_encoding_and_units
base.writing.phoneme_usage
film.performance
base.schemastaging.nutrition_information
measurement_unit.dated_cubic_meters
common.notable_for
user.micahsaul.advertising.ad_contribution
measurement_unit.money_value
base.motorcycle.engine_performance
user.fabricio.default_domain.compound_test
base.equation.number
measurement_unit.dated_index_value
base.computer_operation.keyboard_shortcut
user.maximilianschich.CIDOC_CRM.p27
user.maximilianschich.CIDOC_CRM.p15
user.maximilianschich.CIDOC_CRM.p126
user.paulshanks.project_management.mep_consultant
soccer.football_disciplinary_action
physics.subatomic_mass
biology.hybrid_parentage
user.jfry.testing_types.j_marriage
measurement_unit.recurring_money_value
user.digitalarchivist.default_domain.criminal
base.motorcycle.motorcycle_w_option_package_msrp
user.paulshanks.project_management.construction_cost_information
soccer.football_goal
base.plannedevent.date_time_interval
base.schemastaging.validation
base.money_transfer.money_transfer
user.luxurycarhireeurope.default_domain.carla_regale
basketball.basketball_player_stats
user.digitalarchivist.default_domain.printing_company
base.truereligion.style_code
cvg.computer_game_evaluation
base.facetedbrowsing.faceted_browsing_feature_support
base.sounds.audio_recording_contribution
american_football.football_game_score
engineering.mains_power
base.img_src_x_onerror_alert_1.img_src_x_onerror_prompt_03
user.maximilianschich.CIDOC_CRM.p80
user.maximilianschich.CIDOC_CRM.p132
user.maximilianschich.CIDOC_CRM.p137
user.philg.acre.acre_api_response
base.sparql.sparql_endpoint_namespace
user.kconragan.default_domain.asp_world_tour_participant
base.thestate.state_performance
base.litcentral.person_full_name
base.spabase.spa_operator_tenure
base.microdata.vcard_tel
base.schemastaging.comedy_group_membership
base.anyoption.anyoption
base.torgbase.character_s_reality
tv.tv_regular_personal_appearance
user.jfry.default_domain.agricultural_certification
user.maximilianschich.CIDOC_CRM.p54
user.maximilianschich.CIDOC_CRM.p68
user.maximilianschich.CIDOC_CRM.p117
user.maximilianschich.CIDOC_CRM.p118
royalty.system_order_relationship
base.associationfootball.soccer_squad_position
user.evening.default_domain.business_group_relationship
user.gmackenz.public_gmackenz_types.calendar_event_range_day
user.sandos.social.knows
user.jamie.military_awards.circumstances_for_award
base.unitednations.united_nations_body_head_tenure
base.constructionmachinery.operational
base.armoryshow1913.originator_catalog_entry
base.parking.price_rate
fictional_universe.marriage_of_fictional_characters
user.maximilianschich.CIDOC_CRM.p58
