cricket.cricket_roster.extras	cricket.cricket_roster_extras.roster
engineering.engine.designer	engineering.engine_designer.engines_designed
food.drinking_establishment.licensee	food.licensee_tenure.drinking_establishment
music.recording_cluster.recordings	music.recording.recording_cluster
royalty.noble_title_tenure.noble_person	royalty.noble_person.titles
business.issuer.issue	business.issue.issuer
fictional_universe.fictional_calendar_system.directionality	fictional_universe.calendar_system_directionality.calendars
music.arrangement.arrangement_of	music.composition.arrangements
music.composition.recorded_as_album	music.album.compositions
physics.particle.family	physics.particle_family.particles
symbols.coat_of_arms.compartments	symbols.heraldic_compartment.coat_of_arms
tennis.tennis_player.tennis_grip	tennis.tennis_grip_style.tennis_players
aviation.airline_airport_presence.airline	aviation.airline.airports_served
computer.computer_processor.processor_family	computer.computer_processor.variants
music.concert_tour.artist	music.artist.concert_tours
organization.organization.organization_type	organization.organization_type.organizations_of_this_type
organization.organization_merger.became_organization	organization.organization.product_of_merger
transportation.road_junction.road	transportation.road.major_junctions
tv.tv_series_season.series	tv.tv_program.seasons
amusement_parks.roller_coaster.material	amusement_parks.roller_coaster_material.roller_coasters
biology.gene_ontology_group.part_group	biology.gene_ontology_group.aggregate_group
business.acquisition.acquiring_company	organization.organization.companies_acquired
engineering.power_plug_standard.plug_type	engineering.power_plug_standard_type.plug_standards
government.legislative_session.legislature	government.governmental_body.sessions
language.language_writing_system.type_of_writing	language.language_writing_type.writing_systems
measurement_unit.fuel_economy_unit.measurement_system	measurement_unit.measurement_system.fuel_economy_units
meteorology.tropical_cyclone_category.meteorological_service	meteorology.meteorological_service.tropical_cyclone_categories
organization.organization.committees	organization.organization_committee.committee_of
people.sibling_relationship.sibling	people.person.sibling_s
radio.radio_program.episodes	radio.radio_program_episode.program
sports.sports_league_draft_pick.team	sports.professional_sports_team.draft_picks
sports.sports_position.sport	sports.sport.positions
transportation.road.highway_system	transportation.highway_system.highways
business.brand.owner_s	business.company_brand_relationship.brand
celebrities.rehab.rehab_facility	celebrities.rehab_facility.celebrity_patients
comic_books.comic_book_issue.characters_on_cover	comic_books.comic_book_character.cover_appearances
comic_books.comic_book_story.script	comic_books.comic_book_writer.comic_books_written
dining.cuisine.restaurant	dining.restaurant.cuisine
film.performance.actor	film.actor.film
food.ingredient.compatible_with_dietary_restrictions	food.dietary_restriction.compatible_ingredients
location.location.contains	location.location.containedby
military.armed_force.sub_divisions	military.armed_force.sub_division_of
biology.animal_owner.animals_owned	biology.animal_ownership.owners
event.disaster.type_of_disaster	event.disaster_type.disasters_of_this_type
film.content_rating.film_rating_system	film.content_rating_system.film_ratings
law.us_patent.patent_office	law.patent_office.patents
music.music_video_gig.crewmember	music.music_video_crewmember.music_video_productions_crewed
projects.project.participants	projects.project_participation.project
time.holiday.holiday_period	time.holiday_period.holidays
basketball.basketball_historical_coach_position.coach	basketball.basketball_coach.previous_teams
bicycles.bicycle_model.bicycle_type	bicycles.bicycle_type.bicycle_models_of_this_type
business.product_category.product_lines	business.product_line.category
dataworld.information_source.provider	dataworld.data_provider.datasets_provided
engineering.signal_modulation_mode.parent_modulation	engineering.signal_modulation_mode.child_modulation
fictional_universe.event_in_fiction.location	fictional_universe.fictional_setting.events
fictional_universe.fictional_language.found_in_fictional_universe	fictional_universe.fictional_universe.languages
government.government_position_held.basic_title	government.government_office_category.officeholders
measurement_unit.irradiance_unit.measurement_system	measurement_unit.measurement_system.irradiance_units
measurement_unit.molar_energy_unit.measurement_system	measurement_unit.measurement_system.molar_energy_units
metropolitan_transit.transit_line.alternate_lines	metropolitan_transit.transit_line.primary_line
music.release_track.release	music.release.track_list
soccer.football_team_management_tenure.manager	soccer.football_team_manager.team
tv.tv_soundtrack.tv_program	tv.tv_program.soundtrack
tv.tv_subject.tv_episodes	tv.tv_series_episode.subjects
architecture.structure.architectural_style	architecture.architectural_style.examples
biology.gene_group_membership.group	biology.gene_group.gene
film.film.other_crew	film.film_crew_gig.film
film.film.produced_by	film.producer.film
internet.website_ownership.owner	internet.website_owner.websites_owned_new
medicine.infectious_disease.vaccine	medicine.vaccine.infectious_disease
