sports.school_sports_team.school	education.educational_institution
theater.theater_production.date_closed	type.datetime
tv.tv_rating_system.jurisdiction	location.location
visual_art.artwork.dimensions_meters	measurement_unit.dimensions
architecture.structure.construction_started	type.datetime
automotive.us_fuel_economy.trim_level	automotive.trim_level
aviation.aircraft_model.comparable_aircraft	aviation.comparable_aircraft_relationship
biology.protein.mmdb_id	type.enumeration
book.publishing_company.publisher	book.publisher_imprint_tenure
boxing.boxing_match.weight_class	sports.boxing_weight_division
computer.computer_processor.variants	computer.computer_processor
cricket.cricket_match.tournament_event	cricket.cricket_tournament_event
film.actor.nytimes_id	type.enumeration
film.film.rating	film.content_rating
film.film_regional_release_date.film	film.film
food.beer.color_srm	type.int
food.licensee_tenure.licensee	food.licensee
government.election.district	government.political_district
law.inventor.us_patents	law.us_patent
location.location_symbol_relationship.date_adopted	type.datetime
location.statistical_region.crime_rate_murder	measurement_unit.dated_ratio
location.statistical_region.military_expenditure_percent_gdp	measurement_unit.dated_percentage
measurement_unit.dimension.units	freebase.unit_profile
measurement_unit.measurement_system.heat_capacity_units	measurement_unit.heat_capacity_unit
meteorology.beaufort_wind_force.tropical_cyclone_categories	meteorology.tropical_cyclone_category
military.casualties.combatant	military.military_combatant
music.concert.start_date	type.datetime
olympics.olympic_athlete.country	olympics.olympic_athlete_affiliation
olympics.olympic_bidding_city.olympics_bid_on	olympics.olympic_city_bid
opera.opera_production_staff_gig.from	type.datetime
organization.organization_relationship.as_of_date	type.datetime
rail.railway.operator_s	rail.railway_operator_relationship
royalty.chivalric_rank.opposite_gender_equivalent	royalty.chivalric_rank_gender_equivalence
soccer.football_league.governing_body	soccer.fifa
soccer.football_team_manager_match_participation.manager	soccer.football_team_manager
spaceflight.rocket_status.rockets	spaceflight.rocket
time.time_zone.day_dst_begins	time.day_of_year
tv.tv_producer.programs_produced	tv.tv_producer_term
visual_art.artwork.period_or_movement	visual_art.art_period_movement
wine.wine.percentage_alcohol	type.float
amusement_parks.disney_ride_ticket_membership.from	type.datetime
astronomy.comet_group.comet	astronomy.comet
astronomy.star.metallicity	type.float
astronomy.star.radius	type.float
automotive.model.successor	automotive.model
automotive.opt_trim_relationship.option	automotive.option
broadcast.am_terrestrial_broadcast_facility.frequency	type.float
business.endorsed_product.endorsements	business.product_endorsement
business.oil_field.estimated_reserves	measurement_unit.dated_integer
cricket.cricket_player_debut.player	cricket.cricket_player_stats
cricket.cricket_roster_batting.balls	type.int
education.academic_post.person	education.academic
finance.exchange_operator.exchanges_operated	finance.exchange_operator_relationship
food.dish.ingredients	food.ingredient
food.recipe_author.recipes	food.recipe
government.political_party.country	organization.organization_scope
language.language_writing_system.parent_writing_systems	language.language_writing_system
location.statistical_region.capital_punishment	measurement_unit.dated_integer
location.statistical_region.gas_price_gallon	measurement_unit.dated_money_value
measurement_unit.dated_index_value.source	dataworld.information_source
meteorology.tropical_cyclone_season.last_storm_dissipated	type.datetime
music.group_membership.end	type.datetime
music.music_video_performance.music_video_character	music.music_video_character
music.music_video_performance.special_music_video_performance_type	music.special_music_video_performance_type
organization.organization.email	organization.email_contact
organization.organization_partnership.members	organization.organization
pipeline.task_profile.prompt	type.text
religion.religious_leadership_jurisdiction.title	religion.religious_leadership_jurisdiction_appointment
soccer.football_league_participation.from	soccer.football_league_season
spaceflight.rocket.number_of_stages	type.int
time.day_of_year.day	type.int
tv.tv_series_episode.next_episode	tv.tv_series_episode
american_football.football_game.home_team	american_football.football_team
astronomy.orbital_relationship.orbit_type	astronomy.orbit_type
automotive.option_package.trim_levels	automotive.trim_level
basketball.basketball_player_stats.season	sports.sports_league_season
biology.pedigreed_animal.breed	biology.animal_breed
book.written_work.author	book.author
business.shopping_center.retail_floor_space_m_2	type.int
celebrities.celebrity.legal_entanglements	celebrities.legal_entanglement
celebrities.sexual_orientation_phase.sexual_orientation	celebrities.sexual_orientation
engineering.power_plug_standard_type.compatible_power_systems	engineering.mains_power
government.governmental_jurisdiction.agencies	government.government_agency
location.census_tract.ns_6_12_b	measurement_unit.dated_integer
location.statistical_region.agriculture_as_percent_of_gdp	measurement_unit.dated_percentage
location.statistical_region.gross_enrollment_ratio_tertiary_school	measurement_unit.dated_ratio
measurement_unit.distance_unit.measurement_system	measurement_unit.measurement_system
media_common.dedication.dedicated_to	media_common.dedicatee
medicine.hospital.date_closed	type.datetime
medicine.manufactured_drug_form.fda_otc_part	medicine.fda_otc_monograph_part
meteorology.cloud.maximum_altitude_m	type.float
meteorology.tropical_cyclone_category.min_wind_speed	type.float
music.synthesizer.brand	music.musical_instrument_company
opera.opera_character.portrayed_by	opera.opera_role
projects.project.actual_cost	measurement_unit.dated_money_value
spaceflight.rocket_engine.isp_vacuum	type.float
sports.coaching_position.coaches	sports.sports_team_coach_tenure
sports.sports_award.award	sports.sports_award_type
transportation.road.major_junctions1	transportation.road_junction
tv.tv_program.episode_running_time	type.int
tv.tv_program.regular_personal_appearances	tv.tv_regular_personal_appearance
american_football.football_game_score.team	american_football.football_team
american_football.player_passing_statistics.interceptions	type.int
astronomy.dwarf_planet.star_system	astronomy.star_system
astronomy.galaxy.number_of_stars	astronomy.number_of_stars
astronomy.telescope_type.lower_telescope_classification	astronomy.telescope_type
aviation.airport_terminal.airport	aviation.airport
award.award_category.presenting_organization	award.award_presenting_organization
basketball.basketball_player_stats.points	type.int
basketball.basketball_player_stats.rebounds	type.int
book.technical_report.number_in_series	type.rawstring
book.translation.translator	book.translator
chemistry.solubility.substances	chemistry.solubility_relationship
comedy.comedy_group.genres	comedy.comedy_genre
computer.programming_language.parent_language	computer.programming_language
conferences.conference.venue	conferences.conference_venue
fictional_universe.fictional_character.character_created_by	fictional_universe.fictional_character_creator
film.film_costumer_designer.costume_design_for_film	film.film
geography.mountain.first_ascenders	geography.mountaineer
government.government_agency.successor_agency	government.government_agency
location.country.official_language	language.human_language
location.location.gns_ufi	type.enumeration
location.statistical_region.general_government_net_lending_borrowing	measurement_unit.dated_money_value
measurement_unit.dated_money_value.valid_date	type.datetime
measurement_unit.magnetic_field_strength_unit.strength_in_amperes_per_meter	type.float
meteorology.tropical_cyclone_season.major_storms	type.int
military.military_person.served_aboard	user.patrick.default_domain.warship_crew_tenure
music.compositional_form.superforms	music.compositional_form
music.music_video_subject.subject_in_these_music_videos	music.music_video
olympics.olympic_torch_relay.date	type.datetime
pipeline.review_flag.reason	type.text
protected_sites.protected_site.date_established	type.datetime
royalty.chivalric_order_membership.presented_by	royalty.chivalric_order_officer
soccer.football_player_stats.total_goals	type.int
sports.sports_award.season	sports.sports_league_season
symbols.heraldic_variation_of_the_field_color.tincture	symbols.heraldic_tincture
theater.musical_soundtrack.play	theater.play
theater.theater_production_venue_relationship.start_date	type.datetime
transportation.bridge.total_length	type.float
tv.tv_personality.tv_regular_appearances	tv.tv_regular_personal_appearance
american_football.game_passing_statistics.attempts	type.int
amusement_parks.ride.area	amusement_parks.amusement_park_area
astronomy.galaxy.galactic_group	astronomy.galactic_group
astronomy.star_system.stars	astronomy.star
automotive.model_year.warranty	automotive.warranty
award.award_nomination.nominated_for	award.award_nominated_work
award.ranked_list.ranked_by	award.ranked_list_compiler
basketball.basketball_player_career_stats.field_goals_attempted	type.int
book.written_work.date_of_first_publication	type.datetime
business.product_ingredient.derivatives	business.product_ingredient
comic_books.comic_book_story.pencils	comic_books.comic_book_penciler
cricket.cricket_bowler_stats.overs	type.float
dataworld.property_value_assignment.property_to_assign	type.property
digicams.digital_camera.wide_focal_length	type.float
food.beer_style.final_gravity_range	measurement_unit.floating_point_range
language.conlang_purpose.languages_of_this_type	language.conlang
law.constitution.constitutional_convention	law.constitutional_convention
location.cn_autonomous_county.capital	location.administrative_division
location.location.gnis_feature_id	type.enumeration
