skiing.ski_lift.top_elevation	skiing.ski_lift
soccer.football_team_management_tenure.team	soccer.football_team_management_tenure
sports.school_sports_team.school	sports.school_sports_team
theater.theater_production.date_closed	theater.theater_production
tv.tv_rating_system.jurisdiction	tv.tv_rating_system
visual_art.artwork.dimensions_meters	visual_art.artwork
architecture.structure.construction_started	architecture.structure
automotive.us_fuel_economy.trim_level	automotive.us_fuel_economy
aviation.aircraft_model.comparable_aircraft	aviation.aircraft_model
biology.protein.mmdb_id	biology.protein
book.publishing_company.publisher	book.publishing_company
boxing.boxing_match.weight_class	boxing.boxing_match
computer.computer_processor.variants	computer.computer_processor
cricket.cricket_match.tournament_event	cricket.cricket_match
film.actor.nytimes_id	film.actor
film.film.rating	film.film
film.film_regional_release_date.film	film.film_regional_release_date
food.beer.color_srm	food.beer
food.licensee_tenure.licensee	food.licensee_tenure
government.election.district	government.election
law.inventor.us_patents	law.inventor
location.location_symbol_relationship.date_adopted	location.location_symbol_relationship
location.statistical_region.crime_rate_murder	location.statistical_region
location.statistical_region.military_expenditure_percent_gdp	location.statistical_region
measurement_unit.dimension.units	measurement_unit.dimension
measurement_unit.measurement_system.heat_capacity_units	measurement_unit.measurement_system
meteorology.beaufort_wind_force.tropical_cyclone_categories	meteorology.beaufort_wind_force
military.casualties.combatant	military.casualties
music.concert.start_date	music.concert
olympics.olympic_athlete.country	olympics.olympic_athlete
olympics.olympic_bidding_city.olympics_bid_on	olympics.olympic_bidding_city
opera.opera_production_staff_gig.from	opera.opera_production_staff_gig
organization.organization_relationship.as_of_date	organization.organization_relationship
rail.railway.operator_s	rail.railway
royalty.chivalric_rank.opposite_gender_equivalent	royalty.chivalric_rank
soccer.football_league.governing_body	soccer.football_league
soccer.football_team_manager_match_participation.manager	soccer.football_team_manager_match_participation
spaceflight.rocket_status.rockets	spaceflight.rocket_status
time.time_zone.day_dst_begins	time.time_zone
tv.tv_producer.programs_produced	tv.tv_producer
visual_art.artwork.period_or_movement	visual_art.artwork
wine.wine.percentage_alcohol	wine.wine
amusement_parks.disney_ride_ticket_membership.from	amusement_parks.disney_ride_ticket_membership
astronomy.comet_group.comet	astronomy.comet_group
astronomy.star.metallicity	astronomy.star
astronomy.star.radius	astronomy.star
automotive.model.successor	automotive.model
automotive.opt_trim_relationship.option	automotive.opt_trim_relationship
